productname;date;farmprice;atlantaretail;chicagoretail;losangelesretail;newyorkretail;averagespread
Cauliflower;2018-12-09;$1.19;$2.74;$3.56;$3.68;$3.74;188.24%
Carrots;2018-12-09;$0.29;$0.92;$0.92;$0.99;$1.05;234.48%
Broccoli Crowns;2018-12-09;$1.20;$3.20;$2.22;$1.92;$2.09;96.46%
Broccoli Bunches;2018-12-09;$1.36;$1.71;$1.91;$1.49;$1.76;26.29%
Avocados;2018-12-09;$0.48;$1.01;$1.44;$1.31;$1.69;183.85%
Thompson Grapes;2018-12-02;$0.85;$2.31;$1.64;$2.12;$;78.53%
Strawberries;2018-12-02;$2.88;$3.71;$3.99;$3.99;$5.16;46.27%
Romaine Lettuce;2018-12-02;$1.01;$1.75;$2.14;$1.34;$2.49;91.09%
Red Leaf Lettuce;2018-12-02;$2.04;$2.39;$1.80;$1.92;$1.97;-0.98%
Potatoes;2018-12-02;$1.70;$4.81;$4.81;$3.99;$6.47;195.29%
Oranges;2018-12-02;$0.55;$1.63;$1.37;$0.99;$1.90;167.73%
Iceberg Lettuce;2018-12-02;$2.16;$1.24;$1.51;$1.74;$2.24;-22.11%
Green Leaf Lettuce;2018-12-02;$2.04;$2.49;$1.72;$1.92;$1.91;-1.47%
Flame Grapes;2018-12-02;$0.89;$2.34;$1.64;$2.37;$1.91;132.02%
Celery;2018-12-02;$1.10;$1.35;$2.01;$1.99;$1.71;60.45%
Cauliflower;2018-12-02;$2.16;$3.64;$3.38;$3.83;$3.74;68.87%
Carrots;2018-12-02;$0.29;$0.92;$0.92;$0.99;$1.02;231.90%
Broccoli Crowns;2018-12-02;$1.44;$2.70;$2.41;$1.99;$2.24;62.15%
Avocados;2018-12-02;$0.55;$1.06;$1.69;$1.56;$1.94;184.09%
Green Leaf Lettuce;2018-11-28;$0.68;$1.74;$1.68;$1.42;$1.81;144.49%
Thompson Grapes;2018-11-25;$0.85;$1.98;$1.96;$2.24;$2.21;146.76%
Strawberries;2018-11-25;$2.69;$3.36;$3.84;$3.99;$;4.00%
Potatoes;2018-11-25;$1.70;$6.14;$4.81;$3.49;$6.47;207.50%
Oranges;2018-11-25;$0.55;$1.71;$1.64;$0.99;$1.77;177.73%
Iceberg Lettuce;2018-11-25;$1.91;$1.05;$1.52;$1.24;$1.82;-26.31%
Green Leaf Lettuce;2018-11-25;$1.84;$1.99;$1.75;$1.42;$1.91;-3.94%
Flame Grapes;2018-11-25;$0.89;$1.88;$1.96;$1.99;$2.21;125.84%
Celery;2018-11-25;$0.79;$1.64;$1.83;$1.74;$1.46;111.08%
Cauliflower;2018-11-25;$3.23;$3.64;$3.39;$3.83;$3.99;14.94%
Carrots;2018-11-25;$0.30;$0.89;$0.94;$0.99;$1.15;230.83%
Broccoli Crowns;2018-11-25;$1.54;$3.07;$1.95;$1.99;$1.99;46.10%
Avocados;2018-11-25;$0.65;$1.11;$1.82;$1.62;$2.17;158.46%
Thompson Grapes;2018-11-18;$0.83;$2.31;$1.61;$1.99;$1.96;137.05%
Strawberries;2018-11-18;$2.08;$2.99;$3.84;$3.99;$3.86;76.44%
Red Leaf Lettuce;2018-11-18;$0.73;$1.74;$1.76;$1.42;$1.87;132.53%
Potatoes;2018-11-18;$1.70;$4.72;$3.32;$3.49;$6.47;164.71%
Oranges;2018-11-18;$0.55;$1.51;$1.54;$1.34;$2.01;190.91%
Iceberg Lettuce;2018-11-18;$0.72;$1.04;$1.39;$1.34;$1.92;97.57%
Honeydews;2018-11-18;$1.66;$3.61;$3.95;$3.85;$4.61;141.27%
Flame Grapes;2018-11-18;$0.81;$2.13;$1.61;$1.99;$1.96;137.35%
Celery;2018-11-18;$0.73;$1.64;$1.68;$1.49;$1.35;110.96%
Cauliflower;2018-11-18;$2.90;$2.44;$1.61;$3.68;$3.32;-4.74%
Carrots;2018-11-18;$0.30;$0.92;$0.92;$0.99;$1.15;231.67%
Broccoli Crowns;2018-11-18;$1.18;$1.89;$1.45;$2.20;$1.74;54.24%
Thompson Grapes;2018-11-11;$0.85;$2.35;$2.14;$1.74;$1.99;141.76%
Strawberries;2018-11-11;$2.17;$2.91;$2.99;$3.74;$3.99;57.03%
Romaine Lettuce;2018-11-11;$1.06;$1.75;$2.04;$1.42;$2.05;71.23%
Red Leaf Lettuce;2018-11-11;$0.72;$1.59;$1.80;$1.42;$1.90;132.99%
Potatoes;2018-11-11;$1.70;$6.14;$4.47;$3.99;$5.97;202.50%
Iceberg Lettuce;2018-11-11;$0.79;$1.04;$1.39;$1.24;$1.69;69.62%
Oranges;2018-11-11;$0.55;$1.58;$1.54;$1.34;$2.13;199.55%
Honeydews;2018-11-11;$1.46;$4.49;$3.95;$3.85;$4.61;189.38%
Green Leaf Lettuce;2018-11-11;$0.69;$1.59;$1.76;$1.42;$1.82;138.77%
Flame Grapes;2018-11-11;$0.81;$2.10;$1.88;$1.99;$1.96;144.75%
Celery;2018-11-11;$0.77;$1.64;$1.33;$1.74;$1.62;105.52%
Cauliflower;2018-11-11;$2.47;$2.46;$2.38;$3.83;$2.74;15.49%
Carrots;2018-11-11;$0.30;$0.89;$0.92;$0.99;$1.05;220.83%
Broccoli Crowns;2018-11-11;$0.97;$1.89;$1.95;$1.99;$2.09;104.12%
Thompson Grapes;2018-11-04;$0.83;$2.31;$2.14;$1.74;$2.49;161.45%
Strawberries;2018-11-04;$1.06;$3.06;$2.92;$3.74;$3.19;204.48%
Romaine Lettuce;2018-11-04;$1.07;$2.06;$2.09;$1.42;$1.84;73.13%
Red Leaf Lettuce;2018-11-04;$0.40;$1.74;$1.71;$1.42;$1.72;311.88%
Potatoes;2018-11-04;$1.70;$4.47;$4.31;$3.82;$6.22;176.76%
Oranges;2018-11-04;$0.56;$1.63;$1.54;$1.34;$2.13;196.43%
Iceberg Lettuce;2018-11-04;$0.74;$1.04;$1.39;$1.34;$1.64;82.77%
Honeydews;2018-11-04;$1.33;$4.49;$4.09;$3.85;$1.67;165.04%
Green Leaf Lettuce;2018-11-04;$0.66;$1.59;$1.63;$1.42;$1.67;139.02%
Flame Grapes;2018-11-04;$0.81;$1.96;$1.64;$1.99;$2.49;149.38%
Celery;2018-11-04;$0.70;$1.76;$1.91;$1.99;$1.49;155.36%
Cauliflower;2018-11-04;$1.21;$2.41;$3.38;$3.83;$3.11;163.02%
Carrots;2018-11-04;$0.31;$0.92;$0.92;$0.99;$1.05;212.90%
Cantaloupe;2018-11-04;$1.25;$2.46;$2.37;$3.24;$2.86;118.60%
Broccoli Crowns;2018-11-04;$0.75;$1.89;$2.13;$2.20;$2.16;179.33%
Thompson Grapes;2018-10-28;$0.85;$2.18;$2.32;$1.74;$2.49;156.76%
Strawberries;2018-10-28;$1.10;$2.99;$2.66;$3.24;$3.56;182.95%
Romaine Lettuce;2018-10-28;$0.96;$1.94;$2.06;$1.42;$1.83;88.80%
Red Leaf Lettuce;2018-10-28;$0.41;$1.59;$1.64;$1.42;$1.72;288.41%
Potatoes;2018-10-28;$1.70;$4.47;$4.41;$3.99;$5.97;177.06%
Oranges;2018-10-28;$0.60;$1.63;$1.54;$1.37;$1.90;168.33%
Iceberg Lettuce;2018-10-28;$0.90;$1.04;$1.39;$1.14;$1.66;45.28%
Honeydews;2018-10-28;$1.33;$3.27;$3.52;$3.66;$4.36;178.38%
Green Leaf Lettuce;2018-10-28;$0.55;$1.59;$1.57;$1.42;$1.67;184.09%
Flame Grapes;2018-10-28;$0.89;$2.01;$2.32;$1.74;$2.49;140.45%
Celery;2018-10-28;$0.61;$1.76;$1.91;$1.99;$1.49;193.03%
Cauliflower;2018-10-28;$0.83;$2.41;$2.25;$3.53;$3.24;244.28%
Carrots;2018-10-28;$0.30;$0.92;$0.92;$0.99;$1.05;223.33%
Cantaloupe;2018-10-28;$1.08;$2.56;$2.74;$2.74;$2.74;149.54%
Broccoli Crowns;2018-10-28;$0.83;$1.82;$2.13;$2.20;$2.16;150.30%
Tomatoes;2018-10-21;$0.64;$1.29;$1.26;$1.59;$1.74;129.69%
Thompson Grapes;2018-10-21;$0.85;$2.47;$2.19;$1.99;$1.99;154.12%
Strawberries;2018-10-21;$1.19;$2.65;$2.62;$3.12;$3.44;148.53%
Romaine Lettuce;2018-10-21;$0.59;$1.94;$1.99;$1.42;$1.83;204.24%
Red Leaf Lettuce;2018-10-21;$0.32;$1.59;$1.75;$1.42;$1.56;393.75%
Potatoes;2018-10-21;$1.70;$4.47;$3.74;$3.74;$3.47;126.76%
Oranges;2018-10-21;$0.51;$1.63;$1.41;$1.47;$1.90;214.22%
Iceberg Lettuce;2018-10-21;$0.76;$1.04;$1.31;$1.14;$1.56;66.12%
Honeydews;2018-10-21;$1.62;$3.44;$4.09;$3.85;$4.61;146.76%
Green Leaf Lettuce;2018-10-21;$0.45;$1.74;$1.71;$1.42;$1.50;253.89%
Flame Grapes;2018-10-21;$0.89;$2.23;$1.95;$1.99;$1.99;129.21%
Celery;2018-10-21;$0.49;$1.35;$1.79;$1.99;$1.62;244.39%
Cauliflower;2018-10-21;$0.74;$2.49;$3.38;$3.68;$2.24;298.31%
Carrots;2018-10-21;$0.30;$0.92;$0.85;$0.99;$1.05;217.50%
Cantaloupe;2018-10-21;$0.83;$2.46;$2.37;$2.50;$2.74;203.31%
Broccoli Crowns;2018-10-21;$0.88;$1.82;$2.13;$1.99;$2.21;131.53%
Tomatoes;2018-10-14;$0.48;$1.29;$1.24;$1.59;$1.74;205.21%
Thompson Grapes;2018-10-14;$0.87;$2.27;$2.14;$0.98;$1.66;102.59%
Strawberries;2018-10-14;$1.31;$2.70;$2.54;$3.04;$3.56;125.95%
Romaine Lettuce;2018-10-14;$0.49;$1.94;$2.16;$1.42;$1.74;270.41%
Red Leaf Lettuce;2018-10-14;$0.32;$1.59;$1.71;$1.42;$1.63;396.09%
Potatoes;2018-10-14;$1.70;$4.47;$4.07;$3.99;$5.97;172.06%
Oranges;2018-10-14;$0.53;$1.63;$1.54;$1.49;$1.90;209.43%
Iceberg Lettuce;2018-10-14;$0.40;$1.04;$1.39;$1.14;$1.66;226.88%
Honeydews;2018-10-14;$1.83;$3.27;$3.42;$3.66;$4.61;104.37%
Green Leaf Lettuce;2018-10-14;$0.43;$1.59;$1.63;$1.42;$1.52;258.14%
Flame Grapes;2018-10-14;$0.89;$1.63;$2.14;$0.98;$1.66;80.06%
Celery;2018-10-14;$0.36;$1.64;$1.91;$1.99;$1.62;397.22%
Cauliflower;2018-10-14;$1.04;$2.41;$2.39;$3.53;$3.24;178.13%
Carrots;2018-10-14;$0.30;$0.92;$0.92;$0.99;$1.05;223.33%
Cantaloupe;2018-10-14;$0.83;$2.42;$2.74;$2.38;$2.74;209.64%
Broccoli Crowns;2018-10-14;$0.81;$1.82;$2.13;$2.20;$2.16;156.48%
Tomatoes;2018-10-07;$0.60;$1.62;$1.31;$1.59;$1.66;157.50%
Thompson Grapes;2018-10-07;$0.87;$2.38;$1.51;$1.74;$2.66;138.22%
Strawberries;2018-10-07;$1.63;$2.49;$2.03;$3.12;$3.31;67.94%
Romaine Lettuce;2018-10-07;$0.57;$2.31;$1.99;$1.47;$1.74;229.39%
Red Leaf Lettuce;2018-10-07;$0.36;$1.74;$1.75;$1.42;$1.63;354.17%
Potatoes;2018-10-07;$1.70;$4.47;$3.74;$3.99;$5.97;167.21%
Oranges;2018-10-07;$0.53;$1.63;$1.41;$1.47;$2.01;207.55%
Iceberg Lettuce;2018-10-07;$0.42;$1.04;$1.31;$1.32;$1.56;211.31%
Honeydews;2018-10-07;$1.75;$2.92;$4.09;$3.77;$4.11;112.71%
Green Leaf Lettuce;2018-10-07;$0.58;$1.59;$1.71;$1.32;$1.44;161.21%
Flame Grapes;2018-10-07;$0.89;$2.38;$1.51;$2.24;$2.66;146.91%
Celery;2018-10-07;$0.32;$1.39;$1.79;$1.99;$1.57;426.56%
Cauliflower;2018-10-07;$1.11;$2.34;$3.38;$3.18;$3.36;176.13%
Carrots;2018-10-07;$0.30;$0.92;$0.85;$1.16;$1.05;231.67%
Cantaloupe;2018-10-07;$0.87;$2.69;$2.62;$2.37;$2.62;195.98%
Broccoli Crowns;2018-10-07;$0.76;$1.82;$1.95;$2.07;$1.59;144.41%
Tomatoes;2018-09-30;$0.60;$1.62;$1.24;$1.59;$1.64;153.75%
Thompson Grapes;2018-09-30;$0.87;$2.09;$1.68;$2.24;$2.49;144.25%
Strawberries;2018-09-30;$0.92;$3.09;$2.41;$3.24;$3.56;234.24%
Romaine Lettuce;2018-09-30;$0.52;$1.59;$2.09;$1.42;$1.74;228.85%
Red Leaf Lettuce;2018-09-30;$0.36;$1.59;$1.71;$1.42;$1.57;336.81%
Potatoes;2018-09-30;$1.75;$4.47;$4.64;$3.99;$5.97;172.43%
Oranges;2018-09-30;$0.53;$1.54;$1.49;$1.47;$2.01;207.08%
Iceberg Lettuce;2018-09-30;$0.58;$1.04;$1.39;$1.14;$1.56;121.12%
Honeydews;2018-09-30;$1.50;$3.61;$3.75;$3.66;$3.74;146.00%
Green Leaf Lettuce;2018-09-30;$0.67;$1.59;$1.63;$1.42;$1.47;127.99%
Flame Grapes;2018-09-30;$0.89;$2.16;$1.68;$1.74;$2.16;117.42%
Celery;2018-09-30;$0.32;$1.59;$1.89;$1.99;$1.69;459.38%
Cauliflower;2018-09-30;$0.75;$2.66;$3.26;$3.38;$2.61;297.00%
Carrots;2018-09-30;$0.30;$0.92;$0.92;$0.99;$1.05;223.33%
Cantaloupe;2018-09-30;$1.00;$2.13;$2.19;$2.24;$2.62;129.50%
Broccoli Crowns;2018-09-30;$0.83;$2.32;$2.13;$1.92;$2.35;162.65%
Strawberries;2018-09-26;$1.34;$2.69;$2.29;$2.57;$3.34;103.17%
Tomatoes;2018-09-23;$0.52;$1.62;$1.39;$1.34;$1.62;187.02%
Thompson Grapes;2018-09-23;$0.89;$1.88;$2.22;$0.98;$2.66;117.42%
Strawberries;2018-09-23;$1.06;$2.70;$2.57;$3.49;$3.44;187.74%
Romaine Lettuce;2018-09-23;$0.44;$1.59;$1.99;$1.42;$;184.09%
Red Leaf Lettuce;2018-09-23;$0.34;$4.47;$4.64;$3.99;$5.97;"1;302.21%"
Potatoes;2018-09-23;$1.75;$4.47;$4.64;$3.99;$5.97;172.43%
Oranges;2018-09-23;$0.53;$1.53;$1.45;$1.29;$2.01;196.23%
Iceberg Lettuce;2018-09-23;$0.75;$1.04;$1.39;$1.14;$1.56;71.00%
Honeydews;2018-09-23;$0.96;$3.44;$3.75;$3.66;$3.74;279.95%
Green Leaf Lettuce;2018-09-23;$0.56;$1.59;$1.71;$1.42;$1.47;176.34%
Flame Grapes;2018-09-23;$0.89;$2.00;$2.16;$1.48;$2.66;133.15%
Celery;2018-09-23;$0.32;$1.64;$1.96;$1.99;$1.69;468.75%
Cauliflower;2018-09-23;$0.60;$2.71;$3.26;$3.38;$2.61;398.33%
Carrots;2018-09-23;$0.30;$0.92;$0.92;$0.99;$1.05;223.33%
Cantaloupe;2018-09-23;$0.58;$1.99;$2.37;$2.12;$2.29;278.02%
Broccoli Crowns;2018-09-23;$0.82;$2.47;$2.13;$1.84;$1.52;142.68%
Broccoli Bunches;2018-09-23;$0.98;$1.65;$1.88;$1.49;$2.49;91.58%
Avocados;2018-09-23;$0.79;$0.97;$1.48;$1.17;$1.59;64.87%
Tomatoes;2018-09-16;$0.52;$1.62;$1.24;$1.59;$1.74;197.60%
Thompson Grapes;2018-09-16;$0.93;$1.88;$2.39;$2.24;$2.16;133.06%
Romaine Lettuce;2018-09-16;$0.39;$1.59;$2.09;$1.42;$1.74;338.46%
Potatoes;2018-09-16;$1.75;$4.47;$4.97;$3.99;$5.97;177.14%
Red Leaf Lettuce;2018-09-16;$0.30;$1.59;$1.71;$1.42;$1.57;424.17%
Oranges;2018-09-16;$0.53;$1.45;$1.35;$1.42;$1.93;190.09%
Iceberg Lettuce;2018-09-16;$0.50;$0.99;$1.14;$1.14;$1.56;141.50%
Honeydews;2018-09-16;$0.79;$3.61;$3.26;$3.66;$4.99;391.14%
Green Leaf Lettuce;2018-09-16;$0.37;$1.59;$1.63;$1.42;$1.47;312.84%
Flame Grapes;2018-09-16;$0.97;$2.01;$1.98;$2.24;$2.16;116.24%
Celery;2018-09-16;$0.35;$1.64;$1.89;$1.99;$1.69;415.00%
Cauliflower;2018-09-16;$0.63;$2.71;$2.85;$3.38;$2.49;353.57%
Carrots;2018-09-16;$0.30;$0.92;$0.92;$0.99;$1.29;243.33%
Cantaloupe;2018-09-16;$0.40;$2.29;$2.49;$2.24;$1.91;458.13%
Broccoli Crowns;2018-09-16;$0.77;$2.47;$1.72;$1.84;$2.16;165.91%
Avocados;2018-09-16;$0.82;$1.01;$1.55;$1.50;$1.59;72.26%
Broccoli Crowns;2018-09-12;$0.82;$2.32;$1.88;$1.74;$1.91;139.33%
Tomatoes;2018-09-09;$0.40;$1.62;$1.46;$1.59;$1.54;288.13%
Strawberries;2018-09-09;$1.47;$2.73;$3.02;$3.24;$3.34;109.69%
Romaine Lettuce;2018-09-09;$0.39;$2.01;$1.99;$1.42;$1.74;358.97%
Red Leaf Lettuce;2018-09-09;$0.33;$1.69;$1.75;$1.42;$1.62;390.91%
Potatoes;2018-09-09;$1.75;$4.47;$4.47;$3.99;$5.47;162.86%
Plums;2018-09-09;$0.71;$1.99;$1.96;$1.74;$2.49;188.03%
Peaches;2018-09-09;$0.64;$1.68;$1.64;$1.99;$2.49;204.69%
Oranges;2018-09-09;$0.53;$1.51;$1.36;$1.37;$1.78;183.96%
Iceberg Lettuce;2018-09-09;$0.38;$1.04;$1.31;$1.14;$1.56;232.24%
Honeydews;2018-09-09;$0.96;$3.27;$3.26;$3.66;$4.61;285.42%
Green Leaf Lettuce;2018-09-09;$0.35;$1.69;$1.71;$1.42;$1.47;349.29%
Flame Grapes;2018-09-09;$0.97;$2.26;$1.96;$2.24;$2.16;122.16%
Celery;2018-09-09;$0.38;$1.64;$1.69;$1.99;$1.69;361.18%
Cauliflower;2018-09-09;$0.77;$2.58;$2.48;$3.38;$2.99;271.10%
Carrots;2018-09-09;$0.30;$0.89;$0.85;$0.99;$1.05;215.00%
Cantaloupe;2018-09-09;$0.40;$2.09;$2.24;$2.24;$2.16;445.63%
Broccoli Crowns;2018-09-09;$0.58;$1.62;$2.00;$1.84;$1.60;204.31%
Avocados;2018-09-09;$0.90;$1.03;$1.73;$1.75;$1.59;69.44%
Tomatoes;2018-09-02;$0.38;$1.52;$1.46;$1.47;$1.71;305.26%
Strawberries;2018-09-02;$1.31;$2.50;$2.04;$2.55;$3.21;96.56%
Romaine Lettuce;2018-09-02;$0.39;$1.36;$2.16;$1.42;$1.74;328.21%
Red Leaf Lettuce;2018-09-02;$0.32;$1.36;$1.71;$1.42;$1.57;373.44%
Peaches;2018-09-02;$0.64;$1.68;$1.89;$1.74;$2.49;204.69%
Oranges;2018-09-02;$0.53;$1.51;$1.07;$1.62;$2.23;203.30%
Nectarines;2018-09-02;$0.66;$1.88;$1.64;$2.24;$2.49;212.50%
Iceberg Lettuce;2018-09-02;$0.40;$1.04;$1.39;$1.14;$1.00;185.63%
Honeydews;2018-09-02;$1.00;$3.49;$3.07;$3.48;$3.74;244.50%
Green Leaf Lettuce;2018-09-02;$0.35;$1.36;$1.63;$1.42;$1.47;320.00%
Flame Grapes;2018-09-02;$0.97;$2.21;$2.21;$0.90;$2.16;92.78%
Celery;2018-09-02;$0.40;$1.64;$1.49;$1.99;$1.69;325.63%
Cauliflower;2018-09-02;$1.35;$2.54;$3.26;$3.18;$2.61;114.63%
Carrots;2018-09-02;$0.30;$0.92;$0.85;$0.99;$0.99;212.50%
Cantaloupe;2018-09-02;$0.50;$2.32;$1.74;$2.25;$2.74;352.50%
Avocados;2018-09-02;$0.94;$1.08;$1.51;$1.75;$1.59;57.71%
Tomatoes;2018-08-26;$0.52;$1.45;$1.46;$1.49;$1.66;191.35%
Thompson Grapes;2018-08-26;$0.79;$2.15;$2.27;$1.74;$2.16;163.29%
Strawberries;2018-08-26;$1.22;$3.00;$2.24;$2.50;$3.99;140.37%
Romaine Lettuce;2018-08-26;$0.38;$1.69;$2.06;$1.42;$1.74;354.61%
Red Leaf Lettuce;2018-08-26;$0.29;$1.69;$1.64;$1.42;$1.57;444.83%
Oranges;2018-08-26;$0.53;$1.71;$1.37;$1.49;$1.80;200.47%
Iceberg Lettuce;2018-08-26;$0.42;$1.05;$1.31;$1.14;$1.56;201.19%
Honeydews;2018-08-26;$1.00;$3.42;$3.81;$3.66;$3.82;267.75%
Green Leaf Lettuce;2018-08-26;$0.34;$1.69;$1.57;$1.42;$1.47;352.21%
Flame Grapes;2018-08-26;$0.97;$2.15;$2.27;$1.99;$2.16;120.88%
Celery;2018-08-26;$0.33;$1.51;$1.64;$1.99;$1.65;414.39%
Cauliflower;2018-08-26;$1.09;$2.54;$3.13;$3.53;$2.48;167.89%
Carrots;2018-08-26;$0.30;$0.92;$0.85;$0.99;$1.45;250.83%
Cantaloupe;2018-08-26;$0.50;$2.44;$1.98;$2.25;$2.87;377.00%
Broccoli Crowns;2018-08-26;$0.78;$2.22;$1.95;$1.99;$1.61;149.04%
Avocados;2018-08-26;$0.88;$1.03;$1.40;$1.37;$1.51;50.85%
Tomatoes;2018-08-19;$0.42;$1.62;$1.51;$1.34;$1.72;268.45%
Thompson Grapes;2018-08-19;$0.94;$2.51;$1.99;$2.24;$1.82;127.66%
Strawberries;2018-08-19;$1.03;$2.76;$2.70;$2.87;$2.89;172.33%
Romaine Lettuce;2018-08-19;$0.39;$1.69;$1.99;$1.42;$1.74;338.46%
Red Leaf Lettuce;2018-08-19;$0.32;$1.69;$1.75;$1.42;$1.62;406.25%
Plums;2018-08-19;$0.71;$2.99;$2.11;$1.31;$2.49;213.38%
Peaches;2018-08-19;$0.64;$1.98;$1.41;$0.94;$2.49;166.41%
Oranges;2018-08-19;$0.53;$1.34;$1.34;$1.34;$1.95;181.60%
Nectarines;2018-08-19;$0.66;$2.23;$1.64;$1.44;$2.49;195.45%
Iceberg Lettuce;2018-08-19;$0.54;$1.07;$1.31;$1.14;$1.64;138.89%
Honeydews;2018-08-19;$1.00;$3.61;$3.31;$3.66;$3.49;251.75%
Green Leaf Lettuce;2018-08-19;$0.35;$1.69;$1.78;$1.42;$1.47;354.29%
Flame Grapes;2018-08-19;$0.84;$2.13;$1.99;$1.71;$1.82;127.68%
Celery;2018-08-19;$0.30;$1.64;$1.47;$1.99;$1.69;465.83%
Cauliflower;2018-08-19;$0.79;$2.66;$3.29;$3.38;$2.99;289.87%
Carrots;2018-08-19;$0.30;$0.92;$0.85;$0.99;$1.29;237.50%
Cantaloupe;2018-08-19;$0.48;$2.19;$2.24;$2.12;$2.37;364.58%
Broccoli Crowns;2018-08-19;$0.55;$2.53;$1.62;$1.84;$1.79;253.64%
Broccoli Bunches;2018-08-19;$0.68;$1.65;$2.29;$1.49;$1.76;164.34%
Avocados;2018-08-19;$1.15;$1.03;$1.82;$1.68;$1.48;30.65%
Tomatoes;2018-08-12;$0.44;$1.52;$1.46;$1.49;$1.66;248.30%
Thompson Grapes;2018-08-12;$0.94;$2.11;$2.16;$1.74;$2.16;117.29%
Strawberries;2018-08-12;$0.69;$2.82;$2.23;$2.75;$3.01;291.67%
Romaine Lettuce;2018-08-12;$0.34;$1.69;$2.09;$1.42;$1.74;410.29%
Red Leaf Lettuce;2018-08-12;$0.30;$1.69;$1.71;$1.42;$1.57;432.50%
Potatoes;2018-08-12;$1.80;$4.47;$4.47;$3.99;$5.97;162.50%
Plums;2018-08-12;$0.71;$3.75;$1.66;$1.99;$2.49;248.24%
Peaches;2018-08-12;$0.64;$2.37;$1.66;$1.99;$2.49;232.42%
Oranges;2018-08-12;$0.53;$1.71;$1.16;$1.47;$1.95;196.70%
Nectarines;2018-08-12;$0.66;$2.02;$1.71;$1.74;$2.49;201.52%
Iceberg Lettuce;2018-08-12;$0.81;$1.05;$1.31;$1.14;$1.56;56.17%
Honeydews;2018-08-12;$1.00;$3.42;$3.31;$3.60;$3.36;242.25%
Green Leaf Lettuce;2018-08-12;$0.34;$1.69;$1.63;$1.42;$1.47;356.62%
Flame Grapes;2018-08-12;$0.89;$1.74;$2.16;$1.99;$2.16;126.12%
Celery;2018-08-12;$0.31;$1.64;$1.64;$1.99;$1.65;458.06%
Cauliflower;2018-08-12;$0.70;$2.54;$3.13;$3.53;$2.82;329.29%
Carrots;2018-08-12;$0.30;$0.92;$0.85;$0.99;$1.29;237.50%
Cantaloupe;2018-08-12;$0.48;$2.25;$2.06;$3.12;$1.86;383.85%
Broccoli Crowns;2018-08-12;$0.75;$2.22;$1.95;$1.99;$1.84;166.67%
Avocados;2018-08-12;$1.18;$1.03;$1.31;$1.37;$1.54;11.23%
Tomatoes;2018-08-05;$0.40;$1.52;$1.39;$1.47;$1.72;281.25%
Thompson Grapes;2018-08-05;$0.94;$2.28;$2.36;$2.24;$2.66;153.72%
Strawberries;2018-08-05;$0.69;$2.84;$2.36;$2.87;$3.01;301.45%
Romaine Lettuce;2018-08-05;$0.29;$1.69;$1.82;$1.42;$1.74;475.00%
Red Leaf Lettuce;2018-08-05;$0.30;$1.69;$1.52;$1.42;$1.62;420.83%
Potatoes;2018-08-05;$1.80;$4.47;$4.47;$3.99;$5.97;162.50%
Plums;2018-08-05;$0.86;$1.29;$2.11;$1.99;$2.49;129.07%
Peaches;2018-08-05;$0.54;$2.37;$1.91;$1.74;$2.49;293.98%
Oranges;2018-08-05;$0.53;$1.58;$1.32;$1.74;$1.93;209.91%
Nectarines;2018-08-05;$0.72;$2.21;$1.96;$2.24;$2.49;209.03%
Iceberg Lettuce;2018-08-05;$0.50;$1.05;$1.31;$1.14;$1.64;157.00%
Honeydews;2018-08-05;$0.79;$3.61;$3.31;$3.85;$3.49;351.27%
Green Leaf Lettuce;2018-08-05;$0.30;$1.69;$1.48;$1.42;$1.47;405.00%
Flame Grapes;2018-08-05;$0.94;$2.28;$2.36;$1.74;$1.99;122.61%
Celery;2018-08-05;$0.31;$1.64;$1.34;$1.99;$1.62;431.45%
Cauliflower;2018-08-05;$0.67;$2.54;$3.01;$3.03;$2.86;326.87%
Carrots;2018-08-05;$0.30;$0.92;$0.85;$0.99;$1.05;217.50%
Cantaloupe;2018-08-05;$0.90;$2.39;$1.95;$1.84;$1.59;115.83%
Broccoli Crowns;2018-08-05;$0.90;$2.22;$1.95;$1.84;$1.59;111.11%
Broccoli Bunches;2018-08-05;$1.07;$1.65;$1.77;$1.49;$1.76;55.84%
Avocados;2018-08-05;$1.23;$0.91;$1.23;$1.30;$1.48;0.00%
Tomatoes;2018-07-29;$0.42;$1.49;$1.46;$1.34;$1.66;254.17%
Thompson Grapes;2018-07-29;$1.00;$2.11;$3.09;$0.95;$2.82;124.25%
Strawberries;2018-07-29;$0.69;$2.64;$2.44;$2.75;$3.39;306.52%
Romaine Lettuce;2018-07-29;$0.29;$1.69;$2.16;$1.42;$1.86;514.66%
Red Leaf Lettuce;2018-07-29;$0.29;$1.69;$1.66;$1.42;$1.70;457.76%
Potatoes;2018-07-29;$1.80;$4.97;$4.97;$3.99;$5.97;176.39%
Peaches;2018-07-29;$0.64;$2.37;$1.64;$1.74;$1.99;202.34%
Oranges;2018-07-29;$0.53;$1.71;$1.54;$1.59;$2.35;239.15%
Iceberg Lettuce;2018-07-29;$0.35;$1.05;$1.44;$1.14;$1.56;270.71%
Honeydews;2018-07-29;$0.58;$3.61;$3.56;$3.60;$3.86;530.60%
Green Leaf Lettuce;2018-07-29;$0.30;$1.69;$1.59;$1.42;$1.64;428.33%
Flame Grapes;2018-07-29;$0.87;$2.11;$2.03;$0.95;$2.66;122.70%
Celery;2018-07-29;$0.32;$1.64;$1.89;$1.99;$1.62;457.81%
